transaction_date,stock_date,product_id,customer_id,store_id,quantity
1/1/1997,12/31/1996,869,3449,6,5
1/1/1997,12/31/1996,1472,3449,6,3
1/1/1997,12/28/1996,76,3449,6,4
1/1/1997,12/26/1996,320,3449,6,3
1/1/1997,12/25/1996,4,3449,6,4
1/1/1997,12/30/1996,952,3449,6,4
1/1/1997,12/31/1996,1222,3449,6,4
1/1/1997,12/30/1996,517,7859,6,4
1/1/1997,12/27/1996,1359,7859,6,4
1/1/1997,12/31/1996,357,106,6,4
1/1/1997,12/27/1996,1426,106,6,5
1/1/1997,12/26/1996,190,106,6,4
1/1/1997,12/28/1996,367,106,6,4
1/1/1997,12/29/1996,250,106,6,5
1/1/1997,12/26/1996,600,106,6,4
1/1/1997,12/29/1996,702,8248,6,5
1/1/1997,12/27/1996,786,8248,6,3
1/1/1997,12/30/1996,536,8248,6,4
1/1/1997,12/27/1996,1285,8248,6,4
1/1/1997,12/29/1996,596,8248,6,3
1/1/1997,12/27/1996,846,1906,6,2
1/1/1997,12/31/1996,769,1906,6,4
1/1/1997,12/26/1996,586,1906,6,3
1/1/1997,12/28/1996,1135,1906,6,3
1/1/1997,12/25/1996,1046,1906,6,2
1/1/1997,12/25/1996,170,1906,6,4
1/1/1997,12/26/1996,885,5802,6,4
1/1/1997,12/28/1996,236,5802,6,3
1/1/1997,12/30/1996,1039,5802,6,3
1/1/1997,12/25/1996,603,5802,6,2
1/1/1997,12/29/1996,616,4825,6,4
1/1/1997,12/30/1996,1432,4825,6,4
1/1/1997,12/30/1996,544,4825,6,2
1/1/1997,12/28/1996,920,4825,6,2
1/1/1997,12/30/1996,1349,4825,6,3
1/1/1997,12/30/1996,1093,5262,6,4
1/1/1997,12/28/1996,417,5262,6,2
1/1/1997,12/26/1996,887,5262,6,5
1/1/1997,12/27/1996,1449,5262,6,3
1/1/1997,12/26/1996,494,5262,6,4
1/1/1997,12/28/1996,1070,5262,6,2
1/1/1997,12/27/1996,657,2571,6,2
1/1/1997,12/25/1996,967,2571,6,4
1/1/1997,12/26/1996,1483,2200,6,2
1/1/1997,12/25/1996,48,2200,6,3
1/1/1997,12/26/1996,830,9068,6,3
1/1/1997,12/27/1996,1179,9068,6,3
1/1/1997,12/25/1996,131,9068,6,4
1/1/1997,12/25/1996,574,9068,6,4
1/1/1997,12/30/1996,1217,9068,6,2
1/1/1997,12/29/1996,707,7854,6,3
1/1/1997,12/26/1996,817,7854,6,3
1/1/1997,12/25/1996,831,1900,6,2
1/1/1997,12/27/1996,1247,1900,6,3
1/1/1997,12/29/1996,1143,1900,6,2
1/1/1997,12/25/1996,628,1900,6,4
1/1/1997,12/27/1996,1037,2533,6,3
1/1/1997,12/26/1996,1360,2533,6,4
1/1/1997,12/29/1996,1537,2533,6,4
1/1/1997,12/30/1996,1420,2533,6,2
1/1/1997,12/25/1996,212,2533,6,3
1/1/1997,12/30/1996,721,2533,6,2
1/1/1997,12/31/1996,1164,2533,6,2
1/1/1997,12/31/1996,1067,3175,6,3
1/1/1997,12/29/1996,524,3175,6,2
1/1/1997,12/30/1996,181,3175,6,4
1/1/1997,12/31/1996,797,3175,6,3
1/1/1997,12/31/1996,507,3175,6,2
1/1/1997,12/26/1996,851,2688,6,4
1/1/1997,12/25/1996,1173,2688,6,3
1/1/1997,12/27/1996,1350,2688,6,3
1/1/1997,12/27/1996,1233,2688,6,4
1/1/1997,12/25/1996,25,2688,6,3
1/1/1997,12/29/1996,534,2688,6,3
1/1/1997,12/28/1996,987,6788,6,4
1/1/1997,12/31/1996,738,6788,6,4
1/1/1997,12/31/1996,1487,6788,6,4
1/1/1997,12/27/1996,798,6788,6,3
1/1/1997,12/25/1996,927,5990,6,5
1/1/1997,12/31/1996,505,5990,6,4
1/1/1997,12/30/1996,627,5990,6,2
1/1/1997,12/30/1996,238,9357,6,3
1/1/1997,12/26/1996,282,9357,6,2
1/1/1997,12/29/1996,565,9357,6,4
1/1/1997,12/26/1996,860,9357,6,4
1/1/1997,12/27/1996,704,9357,6,4
1/1/1997,12/26/1996,519,2438,6,4
1/1/1997,12/26/1996,974,2438,6,3
1/1/1997,12/26/1996,752,2438,6,2
1/1/1997,12/31/1996,275,2438,6,4
1/1/1997,12/31/1996,1290,2438,6,3
1/1/1997,12/30/1996,1361,2438,6,2
1/1/1997,12/28/1996,558,6913,6,3
1/1/1997,12/31/1996,442,6913,6,3
1/1/1997,12/25/1996,791,6913,6,3
1/1/1997,12/31/1996,1301,6913,6,2
1/1/1997,12/26/1996,1257,6062,6,4
1/1/1997,12/27/1996,1461,6062,6,2
1/1/1997,12/30/1996,119,6062,6,3
1/1/1997,12/25/1996,932,6613,14,2
1/1/1997,12/28/1996,761,6613,14,1
1/1/1997,12/30/1996,1435,8830,14,1
1/1/1997,12/29/1996,785,8830,14,2
1/1/1997,12/29/1996,1175,8830,14,1
1/1/1997,12/30/1996,1152,8830,14,1
1/1/1997,12/28/1996,76,8830,14,2
1/1/1997,12/28/1996,186,8830,14,2
1/1/1997,12/25/1996,243,5005,14,2
1/1/1997,12/31/1996,1245,5005,14,1
1/1/1997,12/27/1996,209,5005,14,1
1/1/1997,12/28/1996,1345,5005,14,1
1/1/1997,12/28/1996,1468,5005,14,1
1/1/1997,12/25/1996,240,7962,14,2
1/1/1997,12/26/1996,84,7962,14,1
1/1/1997,12/30/1996,966,7962,14,1
1/1/1997,12/27/1996,1022,7962,14,1
1/1/1997,12/29/1996,440,7962,14,1
1/2/1997,12/26/1996,456,9331,11,4
1/2/1997,12/30/1996,1537,9331,11,4
1/2/1997,12/27/1996,994,9331,11,3
1/2/1997,12/28/1996,1065,9331,11,3
1/2/1997,12/27/1996,928,4808,11,3
1/2/1997,12/26/1996,1265,4808,11,2
1/2/1997,12/28/1996,1448,9213,11,2
1/2/1997,12/31/1996,119,9213,11,3
1/2/1997,12/26/1996,162,9213,11,4
1/2/1997,12/28/1996,445,9213,11,4
1/2/1997,12/26/1996,1154,9213,11,4
1/2/1997,1/1/1997,1208,1915,11,3
1/2/1997,1/1/1997,399,1915,11,4
1/2/1997,12/29/1996,1268,1915,11,2
1/2/1997,1/1/1997,632,1915,11,3
1/2/1997,12/29/1996,569,1915,11,3
1/2/1997,12/30/1996,26,1915,11,2
